split,direction,hold_window_h,n_thresh,price_gate,n_signals,n_wins,hit_rate,median_hold_hours,median_entry_price,median_signal_vol_usd
train,YES,1.0,2,0.70,517,311,0.6015,0.0,0.5,331.66
test,YES,1.0,2,0.70,7516,3360,0.447,0.0,0.5,2.31
train,NO,1.0,2,0.70,644,453,0.7034,0.0,0.5,647.13
test,NO,1.0,2,0.70,7374,3858,0.5232,0.0,0.5,19.98
train,YES,1.0,2,0.80,521,315,0.6046,0.0,0.5,329.9
test,YES,1.0,2,0.80,7530,3372,0.4478,0.0,0.5,2.31
train,NO,1.0,2,0.80,644,453,0.7034,0.0,0.5,647.13
test,NO,1.0,2,0.80,7374,3858,0.5232,0.0,0.5,19.98
train,YES,1.0,2,0.85,522,316,0.6054,0.0,0.5,328.48
test,YES,1.0,2,0.85,7535,3377,0.4482,0.0,0.5,2.31
train,NO,1.0,2,0.85,644,453,0.7034,0.0,0.5,647.13
test,NO,1.0,2,0.85,7374,3858,0.5232,0.0,0.5,19.98
train,YES,1.0,2,none,526,320,0.6084,0.0,0.5,328.48
test,YES,1.0,2,none,7546,3386,0.4487,0.0,0.5,2.32
train,NO,1.0,2,none,644,453,0.7034,0.0,0.5,647.13
test,NO,1.0,2,none,7374,3858,0.5232,0.0,0.5,19.98
train,YES,1.0,3,0.70,190,113,0.5947,0.0,0.5,1438.73
test,YES,1.0,3,0.70,4591,1697,0.3696,0.0,0.5,1.96
train,NO,1.0,3,0.70,239,152,0.636,0.0,0.5,1553.71
test,NO,1.0,3,0.70,4573,1867,0.4083,0.0,0.5,2.35
train,YES,1.0,3,0.80,190,113,0.5947,0.0,0.5,1438.73
test,YES,1.0,3,0.80,4597,1702,0.3702,0.0,0.5,1.96
train,NO,1.0,3,0.80,239,152,0.636,0.0,0.5,1553.71
test,NO,1.0,3,0.80,4573,1867,0.4083,0.0,0.5,2.35
train,YES,1.0,3,0.85,190,113,0.5947,0.0,0.5,1438.73
test,YES,1.0,3,0.85,4600,1705,0.3707,0.0,0.5,1.96
train,NO,1.0,3,0.85,239,152,0.636,0.0,0.5,1553.71
test,NO,1.0,3,0.85,4573,1867,0.4083,0.0,0.5,2.35
train,YES,1.0,3,none,191,114,0.5969,0.0,0.5,1419.65
test,YES,1.0,3,none,4608,1711,0.3713,0.0,0.5,1.97
train,NO,1.0,3,none,239,152,0.636,0.0,0.5,1553.71
test,NO,1.0,3,none,4573,1867,0.4083,0.0,0.5,2.35
train,YES,1.0,5,0.70,64,33,0.5156,0.0,0.5,1300.72
test,YES,1.0,5,0.70,2645,697,0.2635,0.0,0.5,1.83
train,NO,1.0,5,0.70,76,46,0.6053,0.0,0.5,5441.1
